DATE,CLOSE,OPEN,HIGH,LOW,VOL
2017-12-25,20820,21000,21160,20750,14638234
2018-01-04,22570,21520,22590,21520,17894297
2018-01-09,22410,23050,23050,22300,22282353
2018-01-15,22700,22720,23300,22470,33396457
2018-01-22,22320,22680,23320,22270,31991560
2018-01-29,21660,22520,22650,21360,34970268
2018-02-05,18220,20870,20920,17640,77403861
2018-02-13,18720,18620,18990,17420,48278530
2018-02-19,19020,19030,19490,18550,44887874
2018-02-26,17800,19490,20130,17640,51119881
2018-03-05,18230,17550,18990,17390,51286759
2018-03-12,18600,19030,19140,18390,39084360
2018-03-19,16750,18360,18580,16640,38722136
2018-03-26,18440,16400,18550,16300,55280231
2018-04-02,18680,18400,18950,17750,44962059
2018-04-09,19010,18580,19270,18550,36225494
2018-04-16,19680,19120,20010,18980,32456178
2018-04-23,20230,19690,20250,19500,29909241
2018-05-01,20190,20200,20380,20120,7883679
2018-05-07,20760,20290,20760,19990,24478786
2018-05-14,21010,20730,21060,20620,19754407
2018-05-21,20170,21030,21240,19900,26978457
2018-05-28,19620,20220,20320,19210,24894620
2018-06-04,20550,20000,20910,19970,20853985
2018-06-11,20870,20540,21130,20510,23848783
2018-06-18,20260,20770,20780,19620,32297919
2018-06-25,19900,20310,20320,19440,28328828
2018-07-02,19000,19770,19920,18390,36652066
2018-07-09,20390,19120,20530,18880,34307013
2018-07-17,20550,20370,21000,20250,25658035
2018-07-23,20540,20120,20540,19900,23742911
2018-07-30,20210,20380,20660,19920,28250794
2018-08-06,19840,20240,20700,19750,22989671
2018-08-13,19770,19510,19920,19000,34236687
2018-08-20,20320,19690,20330,19360,22584114
2018-08-27,20820,20470,21150,20450,28013252
2018-09-03,19830,20750,20770,19590,26848866
2018-09-10,21240,19760,21270,19740,30094596
2018-09-18,22750,21180,22910,21140,31229319
2018-09-25,23500,22700,23800,22600,28904287
2018-10-01,22850,23600,24120,22730,38371004
2018-10-09,20800,22390,22470,20230,47085045
2018-10-15,20390,20410,21160,19820,49386833
2018-10-22,17970,20120,20640,17590,65063602
2018-10-29,19760,18210,19870,17670,52315560
2018-11-05,19770,19210,20350,19100,43530505
2018-11-12,18760,19510,19890,18380,38359712
2018-11-19,18710,18720,19050,17970,23456834
2018-11-26,19930,18720,20060,18660,28558596
2018-12-03,18690,20370,20520,18040,49776854
2018-12-10,18140,18000,19000,17640,39425615
2018-12-17,16130,18160,18460,15850,48869781
2018-12-25,15820,14930,16170,14230,49603696
2019-01-04,15060,14900,15080,14610,12823496
2019-01-07,16380,16040,16600,15830,40576740
2019-01-15,16880,16130,16900,16090,28888013
2019-01-21,17060,17200,17240,16490,30505939
2019-01-28,17020,17010,17290,16430,32273203
2019-02-04,16300,17090,17350,16260,27232507
2019-02-12,17190,16480,17760,16450,27953058
2019-02-18,18080,17800,18300,17670,31862033
2019-02-25,18410,18300,18460,17980,27406730
2019-03-04,17400,18750,18850,17340,27472253
2019-03-11,18140,17480,18310,17260,27447014
2019-03-18,18290,18340,18480,18080,16428019
2019-03-25,17920,17590,18270,17130,38224966
2019-04-01,18970,18520,19020,18400,32932240
2019-04-08,19070,19140,19160,18520,23750878
2019-04-15,19650,19450,19900,19390,25058007
2019-04-22,19740,19660,19940,19420,26004396
2019-05-07,18180,19540,19570,17840,34954124
2019-05-13,18000,17880,18210,17210,30759740
2019-05-20,17730,18070,18280,17390,22830672
2019-05-27,16850,17840,18040,16840,28550294
2019-06-03,17360,16420,17370,16370,23227290
2019-06-10,17700,17720,17950,17400,22157894
2019-06-17,17920,17650,18340,17380,24145478
2019-06-24,17970,17870,18090,17610,19350437
2019-07-01,18750,18640,18860,18480,23131090
2019-07-08,18670,18650,18730,18370,21543961
2019-07-16,18290,18610,18630,17500,22297034
2019-07-22,18600,18160,18900,18040,21154987
2019-07-29,17630,18600,18850,17420,33449164
2019-08-05,16960,17360,17400,15990,50208017
2019-08-13,16520,16560,16970,16130,24600076
2019-08-19,17000,16820,17030,16610,17656543
2019-08-26,17000,16170,17040,16130,29922821
2019-09-02,17760,16820,17860,16740,27254940
2019-09-09,19170,17800,19180,17770,30652915
2019-09-17,19280,19070,19630,18950,26005743
2019-09-24,19200,19320,19500,18990,23312566
2019-09-30,18390,19010,19330,18170,26154433
2019-10-07,19030,18450,19070,18220,27800548
2019-10-15,20290,19540,20560,19470,24917277
2019-10-21,20830,20350,20860,20250,17981093
2019-10-28,20900,20940,21190,20640,19992502
2019-11-05,21910,21540,22300,21450,18685616
2019-11-11,21770,22000,22200,21280,20957858
2019-11-18,21390,21730,21960,20660,26419440
2019-11-25,21710,21710,22310,21640,23951268
2019-12-02,21830,21860,22200,21230,25085699
2019-12-09,23100,22170,23130,21760,23216224
2019-12-16,22680,22940,23220,22520,15744103
2019-12-23,22620,22820,22840,22620,4731972
