DATE,OPEN,HIGH,LOW,CLOSE,VOL
10/16 15:01,21090,21100,21090,21100,38661
10/16 15:00,21120,21130,21090,21110,62606
10/16 14:55,21100,21130,21100,21120,38208
10/16 14:50,21120,21120,21100,21100,30360
10/16 14:45,21100,21130,21100,21130,39997
10/16 14:40,21100,21120,21090,21100,34911
10/16 14:35,21090,21110,21080,21100,18796
10/16 14:30,21100,21100,21070,21090,40813
10/16 14:25,21110,21120,21090,21090,28571
10/16 14:20,21090,21120,21080,21110,55823
10/16 14:15,21070,21090,21070,21080,12432
10/16 14:10,21070,21090,21070,21070,47202
10/16 14:05,21040,21100,21040,21070,50031
10/16 14:00,21080,21090,21020,21050,117906
10/16 13:55,21080,21090,21070,21080,21716
10/16 13:50,21090,21090,21070,21090,25335
10/16 13:45,21080,21100,21070,21080,14420
10/16 13:40,21080,21100,21070,21080,56219
10/16 13:35,21050,21090,21050,21090,77515
10/16 13:30,21110,21120,21040,21050,120071
10/16 13:25,21130,21140,21100,21110,55625
10/16 13:20,21120,21130,21110,21120,34117
10/16 13:15,21150,21150,21120,21120,126364
10/16 13:10,21150,21160,21140,21150,23310
10/16 13:05,21150,21160,21140,21150,87070
10/16 13:00,21150,21150,21130,21150,60434
10/16 12:55,21130,21150,21120,21140,60128
10/16 12:50,21100,21140,21100,21130,103033
10/16 12:45,21100,21110,21090,21110,76536
10/16 12:40,21040,21110,21040,21090,98938
10/16 12:35,21190,21200,21020,21050,684706
10/16 11:35,21250,21250,21250,21250,4347
10/16 11:30,21270,21270,21250,21250,15908
10/16 11:25,21260,21270,21260,21260,16856
10/16 11:20,21280,21280,21260,21270,23094
10/16 11:15,21260,21280,21260,21280,28673
10/16 11:10,21270,21270,21250,21260,16164
10/16 11:05,21270,21280,21260,21270,20575
10/16 11:00,21260,21280,21250,21270,23688
10/16 10:55,21260,21260,21250,21250,32108
10/16 10:50,21260,21280,21250,21260,30425
10/16 10:45,21250,21260,21250,21260,4874
10/16 10:40,21240,21260,21240,21250,29737
10/16 10:35,21240,21250,21230,21230,37322
10/16 10:30,21220,21250,21220,21240,9450
10/16 10:25,21220,21240,21220,21220,11086
10/16 10:20,21240,21240,21220,21230,55593
10/16 10:15,21250,21260,21240,21250,19730
10/16 10:10,21290,21290,21240,21250,60755
10/16 10:05,21230,21300,21230,21290,180999
10/16 10:00,21210,21230,21210,21230,15065
10/16 09:55,21220,21230,21200,21210,49673
10/16 09:50,21230,21240,21220,21230,21743
10/16 09:45,21220,21240,21220,21230,33053
10/16 09:40,21200,21230,21200,21220,23825
10/16 09:35,21210,21220,21190,21190,63065
10/16 09:30,21180,21220,21180,21200,55675
10/16 09:25,21200,21210,21180,21190,80239
10/16 09:20,21220,21220,21190,21200,81363
10/16 09:15,21200,21220,21190,21210,60810
10/16 09:10,21200,21240,21190,21200,77967
10/16 09:05,21230,21250,21190,21210,293962
10/15 15:01,21250,21250,21250,21250,38343
10/15 15:00,21270,21280,21230,21240,84278
10/15 14:55,21270,21280,21260,21270,44565
10/15 14:50,21290,21290,21260,21260,21361
10/15 14:45,21270,21290,21270,21280,109700
10/15 14:40,21240,21270,21240,21270,47830
10/15 14:35,21250,21250,21230,21230,14780
10/15 14:30,21230,21250,21220,21240,87730
10/15 14:25,21230,21230,21220,21220,2184
10/15 14:20,21220,21230,21210,21220,31865
10/15 14:15,21240,21240,21220,21220,12865
10/15 14:10,21260,21260,21240,21240,13920
10/15 14:05,21230,21260,21220,21260,44196
10/15 14:00,21230,21250,21230,21240,29683
10/15 13:55,21230,21240,21220,21230,10238
10/15 13:50,21240,21240,21220,21220,5760
10/15 13:45,21220,21240,21210,21240,38286
10/15 13:40,21220,21240,21210,21220,18397
10/15 13:35,21220,21240,21220,21220,40692
10/15 13:30,21210,21230,21210,21230,14996
10/15 13:25,21200,21220,21190,21210,69895
10/15 13:20,21200,21210,21190,21200,32638
10/15 13:15,21170,21200,21170,21200,29388
10/15 13:10,21190,21190,21160,21160,158096
10/15 13:05,21190,21190,21180,21190,13828
10/15 13:00,21190,21200,21180,21180,41612
10/15 12:55,21210,21210,21180,21190,53324
10/15 12:50,21220,21230,21200,21200,25789
10/15 12:45,21230,21240,21210,21230,92408
10/15 12:40,21230,21240,21220,21240,25226
10/15 12:35,21230,21230,21170,21230,311523
10/15 11:35,21270,21270,21270,21270,4230
10/15 11:30,21280,21280,21260,21270,66893
10/15 11:25,21280,21280,21270,21280,15717
10/15 11:20,21280,21290,21270,21280,26221
10/15 11:15,21300,21300,21270,21280,63695
10/15 11:10,21300,21310,21290,21290,15119
10/15 11:05,21300,21310,21300,21300,17453
10/15 11:00,21280,21310,21280,21300,36275
10/15 10:55,21280,21300,21270,21280,81082
10/15 10:50,21320,21320,21280,21290,205933
10/15 10:45,21310,21340,21310,21320,26710
10/15 10:40,21340,21350,21310,21320,62445
10/15 10:35,21320,21350,21320,21340,58539
10/15 10:30,21310,21320,21310,21320,35837
10/15 10:25,21380,21380,21290,21310,120911
10/15 10:20,21330,21380,21330,21370,132307
10/15 10:15,21320,21340,21320,21340,44098
10/15 10:10,21310,21320,21290,21320,46582
10/15 10:05,21300,21320,21290,21320,71388
10/15 10:00,21300,21310,21290,21300,59147
10/15 09:55,21310,21320,21300,21300,66678
10/15 09:50,21320,21330,21310,21310,61353
10/15 09:45,21310,21330,21300,21320,74620
10/15 09:40,21300,21320,21300,21300,31749
10/15 09:35,21310,21320,21290,21310,175624
10/15 09:30,21340,21350,21310,21310,62503
10/15 09:25,21330,21360,21330,21340,130154
10/15 09:20,21340,21350,21320,21330,29343
